city_name,forecast_date,avg_temp,max_temp,min_temp
Bangkok,2026-09-08,28.23,32.4,25.9
Bangkok,2026-09-09,27.64,32.2,25.7
Bangkok,2026-09-10,26.88,30.6,25.3
Bangkok,2026-09-11,25.68,30.0,23.8
Bangkok,2026-09-12,26.01,29.4,23.8
Bangkok,2026-09-13,26.17,29.8,23.8
Bangkok,2026-09-14,26.32,30.7,23.5
Chiang Mai,2026-09-08,26.0,29.5,23.8
Chiang Mai,2026-09-09,25.86,29.4,24.1
Chiang Mai,2026-09-10,25.8,29.2,23.4
Chiang Mai,2026-09-11,25.7,29.5,22.6
Chiang Mai,2026-09-12,26.2,30.4,22.4
Chiang Mai,2026-09-13,27.27,31.7,23.8
Chiang Mai,2026-09-14,27.36,33.0,22.8
Chonburi,2026-09-08,29.19,33.2,26.7
Chonburi,2026-09-09,28.85,32.1,26.5
Chonburi,2026-09-10,27.15,31.1,24.8
Chonburi,2026-09-11,25.6,28.5,23.9
Chonburi,2026-09-12,25.96,29.7,23.8
Chonburi,2026-09-13,26.2,30.3,23.9
Chonburi,2026-09-14,26.26,30.0,24.5
Khon Kaen,2026-09-08,27.32,31.4,25.2
Khon Kaen,2026-09-09,26.26,29.8,24.3
Khon Kaen,2026-09-10,25.8,29.4,23.9
Khon Kaen,2026-09-11,26.06,30.8,23.6
Khon Kaen,2026-09-12,25.84,29.3,22.8
Khon Kaen,2026-09-13,27.28,31.1,24.3
Khon Kaen,2026-09-14,25.66,28.2,23.3
Songkhla,2026-09-08,30.1,35.2,26.3
Songkhla,2026-09-09,29.01,34.2,25.9
Songkhla,2026-09-10,28.44,33.4,25.5
Songkhla,2026-09-11,27.9,32.5,25.3
Songkhla,2026-09-12,27.07,30.4,24.7
Songkhla,2026-09-13,27.57,32.5,23.9
Songkhla,2026-09-14,27.34,31.2,24.6
