city_name,forecast_time,precipitation_probability
Bangkok,2026-09-08T16:00,100.0
Bangkok,2026-09-09T17:00,100.0
Bangkok,2026-09-10T16:00,100.0
Bangkok,2026-09-11T01:00,98.0
Bangkok,2026-09-12T21:00,89.0
Bangkok,2026-09-13T16:00,82.0
Bangkok,2026-09-14T19:00,80.0
Chiang Mai,2026-09-08T21:00,99.0
Chiang Mai,2026-09-09T18:00,94.0
Chiang Mai,2026-09-10T15:00,94.0
Chiang Mai,2026-09-11T14:00,93.0
Chiang Mai,2026-09-12T16:00,75.0
Chiang Mai,2026-09-13T16:00,35.0
Chiang Mai,2026-09-14T19:00,33.0
Chonburi,2026-09-08T18:00,83.0
Chonburi,2026-09-09T23:00,70.0
Chonburi,2026-09-10T22:00,100.0
Chonburi,2026-09-11T00:00,100.0
Chonburi,2026-09-12T22:00,88.0
Chonburi,2026-09-13T00:00,83.0
Chonburi,2026-09-14T19:00,84.0
Khon Kaen,2026-09-08T14:00,82.0
Khon Kaen,2026-09-09T14:00,89.0
Khon Kaen,2026-09-10T19:00,98.0
Khon Kaen,2026-09-11T16:00,96.0
Khon Kaen,2026-09-12T16:00,67.0
Khon Kaen,2026-09-13T16:00,37.0
Khon Kaen,2026-09-14T19:00,61.0
Songkhla,2026-09-08T16:00,61.0
Songkhla,2026-09-09T17:00,98.0
Songkhla,2026-09-10T16:00,100.0
Songkhla,2026-09-11T15:00,94.0
Songkhla,2026-09-12T16:00,88.0
Songkhla,2026-09-13T16:00,84.0
Songkhla,2026-09-14T17:00,82.0
