city_name,forecast_date,avg_temp,prev_day_avg_temp,temp_diff
Bangkok,2026-09-08,28.23,,
Bangkok,2026-09-09,27.64,28.23,-0.59
Bangkok,2026-09-10,26.88,27.64,-0.76
Bangkok,2026-09-11,25.68,26.88,-1.2
Bangkok,2026-09-12,26.01,25.68,0.33
Bangkok,2026-09-13,26.17,26.01,0.16
Bangkok,2026-09-14,26.32,26.17,0.15
Chiang Mai,2026-09-08,26.0,,
Chiang Mai,2026-09-09,25.86,26.0,-0.14
Chiang Mai,2026-09-10,25.8,25.86,-0.06
Chiang Mai,2026-09-11,25.7,25.8,-0.1
Chiang Mai,2026-09-12,26.2,25.7,0.5
Chiang Mai,2026-09-13,27.27,26.2,1.07
Chiang Mai,2026-09-14,27.36,27.27,0.09
Chonburi,2026-09-08,29.19,,
Chonburi,2026-09-09,28.85,29.19,-0.34
Chonburi,2026-09-10,27.15,28.85,-1.7
Chonburi,2026-09-11,25.6,27.15,-1.55
Chonburi,2026-09-12,25.96,25.6,0.36
Chonburi,2026-09-13,26.2,25.96,0.24
Chonburi,2026-09-14,26.26,26.2,0.06
Khon Kaen,2026-09-08,27.32,,
Khon Kaen,2026-09-09,26.26,27.32,-1.06
Khon Kaen,2026-09-10,25.8,26.26,-0.46
Khon Kaen,2026-09-11,26.06,25.8,0.26
Khon Kaen,2026-09-12,25.84,26.06,-0.22
Khon Kaen,2026-09-13,27.28,25.84,1.44
Khon Kaen,2026-09-14,25.66,27.28,-1.62
Songkhla,2026-09-08,30.1,,
Songkhla,2026-09-09,29.01,30.1,-1.09
Songkhla,2026-09-10,28.44,29.01,-0.57
Songkhla,2026-09-11,27.9,28.44,-0.54
Songkhla,2026-09-12,27.07,27.9,-0.83
Songkhla,2026-09-13,27.57,27.07,0.5
Songkhla,2026-09-14,27.34,27.57,-0.23
